Date,WMT,TGT,COST,XOM,CVX,COP,JPM,WFC,BAC,V,MA,JNJ,MRK,PFE,DAL,UAL,AAL,LMT,RTX,NOC,CAT,DE,CMI,PG,UL,AMGN,GILD,BIIB,ALL,TRV,PGR,SP500 benchmar
04/01/2010 00:00:00,40.17,34.47,43.85,41.68,46.85,25.06,30.28,19.37,13.08,20.06,23.96,43.96,22.43,11.03,9.97,12.80,4.50,50.44,32.89,38.77,40.93,42.91,34.30,40.93,20.39,42.89,16.56,53.64,22.59,36.12,11.36,1132.99
05/01/2010 00:00:00,39.77,34.60,43.72,41.84,47.18,25.08,30.87,19.90,13.51,19.83,23.89,43.45,22.52,10.87,10.75,13.91,5.01,50.97,32.39,38.84,41.42,42.75,35.11,40.94,19.94,42.52,16.54,53.38,22.97,35.27,11.33,1136.52
06/01/2010 00:00:00,39.68,35.26,44.29,42.20,47.19,25.27,31.04,19.93,13.66,19.56,23.85,43.81,22.82,10.83,10.76,13.27,4.80,50.22,32.22,38.99,41.55,42.63,35.43,40.74,19.84,42.20,17.12,53.43,22.97,34.76,11.21,1137.14
07/01/2010 00:00:00,39.70,35.69,44.07,42.07,47.01,25.16,31.65,20.66,14.11,19.74,23.70,43.49,22.86,10.79,11.27,13.55,4.94,48.84,32.36,39.39,41.72,42.94,37.23,40.52,19.70,41.81,17.16,52.99,23.09,35.27,11.06,1141.69
08/01/2010 00:00:00,39.50,35.55,43.76,41.90,47.09,25.38,31.57,20.46,13.99,19.80,23.71,43.64,22.85,10.88,11.08,13.33,4.85,49.63,32.43,39.17,42.19,44.11,39.22,40.47,19.79,42.18,17.03,54.08,23.19,35.21,11.16,1144.98
11/01/2010 00:00:00,40.15,35.63,43.81,42.37,47.93,25.53,31.47,20.42,14.11,19.74,23.32,43.65,22.94,10.97,11.36,13.11,4.75,49.87,33.13,39.21,44.84,45.89,40.19,40.31,19.82,42.37,17.17,53.90,23.19,35.20,10.88,1146.98
12/01/2010 00:00:00,40.54,35.03,43.57,42.16,47.65,24.99,30.73,19.91,13.64,19.65,23.30,43.88,22.76,10.93,11.14,12.69,4.79,49.86,32.94,39.25,43.51,43.93,38.99,40.77,19.94,41.63,17.19,53.25,23.17,35.42,10.90,1136.22
13/01/2010 00:00:00,40.74,35.03,43.85,41.99,47.29,25.15,31.27,20.27,13.86,19.83,23.91,44.16,23.59,11.19,11.41,13.95,5.17,50.46,33.31,40.43,43.58,44.62,38.57,41.19,20.05,42.00,17.40,54.08,23.37,35.55,11.17,1145.68
14/01/2010 00:00:00,40.15,35.57,43.34,42.00,47.14,25.25,31.58,20.56,14.02,19.90,24.31,44.25,24.24,11.29,11.70,13.93,5.27,50.44,33.43,40.44,43.33,44.66,38.65,41.23,20.20,41.73,17.38,54.36,23.51,35.74,11.19,1148.46
15/01/2010 00:00:00,39.76,35.62,43.40,41.65,46.95,25.27,30.87,19.91,13.56,19.60,24.52,43.88,23.92,11.35,11.32,13.25,5.19,50.38,33.05,39.98,42.32,43.12,37.80,40.72,20.02,41.80,17.41,54.18,22.97,35.38,10.98,1136.03
19/01/2010 00:00:00,40.02,36.35,43.51,41.75,47.22,25.60,30.58,20.05,13.61,19.99,24.71,44.42,24.62,11.65,11.57,13.26,5.32,51.40,33.19,40.19,42.89,44.13,38.69,41.33,20.51,42.76,17.70,55.23,23.32,35.85,11.16,1150.23
20/01/2010 00:00:00,39.89,36.01,43.01,41.00,46.31,25.29,30.67,19.73,13.75,19.89,24.59,44.28,24.87,11.62,11.91,13.55,5.41,51.27,32.79,39.75,42.07,42.95,37.61,40.77,20.30,42.50,17.61,54.72,23.20,35.48,11.09,1138.04
21/01/2010 00:00:00,39.19,35.66,42.46,40.20,45.18,24.90,28.65,19.85,12.90,19.22,24.13,43.48,24.29,11.21,11.94,13.13,5.15,50.53,32.20,38.65,40.02,42.44,36.15,40.36,19.93,42.08,17.51,53.21,22.91,35.50,10.95,1116.48
22/01/2010 00:00:00,39.21,35.77,42.13,39.84,44.20,24.12,27.67,19.33,12.42,18.82,23.50,42.96,23.56,11.04,11.80,13.21,4.94,49.61,31.71,37.94,38.19,40.58,34.91,40.67,19.63,42.06,17.62,53.06,22.27,35.03,10.64,1091.76
25/01/2010 00:00:00,39.17,36.05,42.48,39.69,44.18,24.19,27.71,19.61,12.49,18.67,23.56,42.97,23.49,10.98,11.84,12.88,4.92,50.38,31.49,37.98,38.81,41.10,34.81,40.89,19.71,41.40,17.48,52.67,22.55,35.45,10.73,1096.78
26/01/2010 00:00:00,39.71,36.94,42.76,39.73,43.94,24.04,27.16,19.14,12.31,18.46,23.21,42.68,23.38,10.94,11.68,12.79,4.76,50.40,31.43,38.21,39.31,40.88,34.56,40.93,19.61,42.04,17.16,53.00,22.50,36.43,10.69,1092.17
27/01/2010 00:00:00,39.55,36.89,42.46,39.50,43.68,23.74,27.79,20.00,12.66,19.09,23.93,43.12,23.42,11.07,11.69,12.83,4.58,50.63,31.04,38.69,37.62,40.10,33.91,41.01,19.62,42.90,18.37,53.58,22.50,36.91,10.79,1097.50
28/01/2010 00:00:00,38.97,36.86,42.33,39.15,43.40,23.04,27.90,20.17,12.81,18.81,23.28,43.36,23.01,10.85,11.24,12.63,4.85,49.98,30.93,38.63,36.50,39.12,33.29,41.60,19.54,43.16,18.17,53.27,22.25,36.45,10.66,1084.53
29/01/2010 00:00:00,39.57,36.40,42.39,38.83,42.74,22.88,27.52,20.16,12.66,18.67,23.33,42.73,23.14,10.87,10.86,12.23,5.01,48.91,30.98,38.60,36.77,38.23,33.00,41.51,19.37,43.45,18.46,53.74,22.24,36.74,10.55,1073.87
01/02/2010 00:00:00,39.61,36.28,42.75,39.89,43.60,23.39,28.00,20.51,12.86,19.04,23.66,42.88,23.21,10.95,11.22,12.75,5.28,49.16,31.01,39.50,37.27,39.30,34.30,41.81,19.39,43.63,18.28,53.91,22.25,36.76,10.66,1089.19
02/02/2010 00:00:00,39.62,36.08,43.38,40.36,44.12,23.90,28.65,20.41,13.01,19.12,23.57,43.49,23.96,11.21,11.46,13.72,5.62,50.25,31.23,39.68,37.69,40.15,37.33,42.42,19.81,44.01,18.57,54.94,22.68,37.05,10.77,1103.32
03/02/2010 00:00:00,40.19,35.93,43.12,40.14,43.39,23.83,28.47,19.99,12.95,19.00,23.11,43.25,23.47,10.95,11.03,13.36,5.34,50.34,31.33,39.90,37.58,39.68,37.88,42.25,19.60,43.89,18.18,54.60,22.16,36.67,10.67,1097.28
04/02/2010 00:00:00,39.23,34.84,43.20,39.01,42.29,22.95,27.10,19.22,12.30,18.90,20.73,42.58,22.48,10.60,10.18,12.36,5.18,49.89,30.48,39.48,36.18,38.17,36.61,41.41,18.65,42.75,17.77,53.10,21.32,36.06,10.34,1063.11
05/02/2010 00:00:00,39.59,35.00,43.24,39.06,42.18,22.87,27.06,19.48,12.51,18.79,20.60,42.58,22.26,10.56,10.04,12.78,5.55,49.70,30.53,39.32,36.43,38.13,36.89,41.34,18.31,42.86,17.74,53.53,21.48,36.46,10.51,1066.19
08/02/2010 00:00:00,39.20,34.64,42.92,39.04,41.56,22.58,26.64,18.77,12.07,18.90,21.13,42.39,22.18,10.49,9.99,13.07,5.59,48.92,30.03,39.53,35.74,37.48,36.62,41.14,18.31,42.70,17.62,52.84,21.07,35.57,10.31,1056.74
